name,language,watches,stars,forks,issues,pull_requests,commits,contributors,folders
express,['JavaScript'],1800,47300,7900,123.0,72,5558,230,4
Semantic-UI,"['JavaScript', 'CSS', 'HTML']",1400,47300,5000,867.0,119,6684,190,6
shadowsocks-windows,"['C#', 'JavaScript']",2600,47300,15200,49.0,11,1345,65,4
Chart.js,"['JavaScript', 'Other']",1400,47200,10200,367.0,9,3051,313,6
django,"['Python', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Smarty']",2200,47200,20400,,237,27917,1854,8
elasticsearch,"['Java', 'Groovy', 'Shell', 'ANTLR', 'Python', 'TSQL']",2800,47000,16000,2176.0,309,50582,1355,18
keras,"['Python', 'Other']",2100,46800,17700,2790.0,62,5342,820,7
httpie,"['Python', 'Makefile', 'Shell', 'Ruby']",1100,45800,3000,135.0,24,1148,84,4
storybook,"['TypeScript', 'JavaScript', 'HTML', 'Kotlin', 'Vue', 'Shell', 'Other']",693000,45500,4200,476.0,51,24957,914,16
json-server,"['JavaScript', 'HTML', 'CSS']",973000,45500,4200,448.0,60,789,60,4
Apollo-11,['Assembly'],1300,45400,6200,14.0,4,354,103,3
spring-boot,"['Java', 'HTML', 'Kotlin', 'JavaScript', 'Shell', 'Groovy']",3400,45400,28700,423.0,27,25192,651,10
rails,"['Ruby', 'HTML', 'JavaScript', 'CSS', 'CoffeeScript', 'Shell']",2600,45000,18200,404.0,239,75943,3973,17
next.js,"['JavaScript', 'TypeScript', 'Other']",846000,45000,6300,272.0,30,5100,917,8
netdata,"['C', 'Python', 'JavaScript', 'Shell', 'CSS', 'HTML', 'Other']",1400,44800,4100,680.0,37,9816,323,22
FiraCode,"['Clojure', 'Shell', 'Python', 'HTML', 'CSS', 'PureBasic']",720000,44400,1600,222.0,2,364,70,6
deno,"['TypeScript', 'Rust', 'Python', 'JavaScript']",1500,44400,2100,320.0,32,2786,220,7
html5-boilerplate,"['JavaScript', 'HTML']",2600,44000,10500,2.0,1,1778,231,5
element,"['Vue', 'JavaScript', 'CSS', 'Other']",1400,43800,9900,1235.0,294,4368,501,7
markdown-here,"['JavaScript', 'CSS', 'HTML']",1000,43800,7700,246.0,17,807,12,5
Front-end-Developer-Interview-Questions,"['HTML', 'CSS', 'JavaScript', 'Shell']",2400,43600,8800,5.0,0,786,208,3
resume.github.com,"['JavaScript', 'HTML', 'CSS', 'Ruby']",336000,43600,1100,29.0,6,263,48,4
awesome-machine-learning,['Python'],3300,43500,11000,0.0,0,1368,416,1
lodash,['JavaScript'],871000,43500,4700,35.0,22,7994,287,3
